project,platform,signature,series,testrun_id,push_timestamp,change,percent change,t-value,revision
mozilla-inbound,linux64,d302a19fe1f655de7f9db1928a97bda4b3274568,sessionrestore summary opt,14022,1430222265,201.938333333,11.0888615345,53.2967381153,02f00a6bed84
mozilla-inbound,linux64,d302a19fe1f655de7f9db1928a97bda4b3274568,sessionrestore summary opt,14338,1430882970,-166.011666667,8.14888171412,42.8614747681,1b38fb967793
mozilla-inbound,linux64,d302a19fe1f655de7f9db1928a97bda4b3274568,sessionrestore summary opt,14377,1430939110,22.6316666667,1.22036652337,7.74610213653,408e353d81a3
mozilla-inbound,linux64,d302a19fe1f655de7f9db1928a97bda4b3274568,sessionrestore summary opt,14487,1431106775,-79.09,4.18795031012,19.3222444272,863caf540d9a
mozilla-inbound,linux64,d302a19fe1f655de7f9db1928a97bda4b3274568,sessionrestore summary opt,15100,1432506437,70.7991666667,3.95705870079,15.1789622512,5f7e75cf1891
mozilla-inbound,linux64,d302a19fe1f655de7f9db1928a97bda4b3274568,sessionrestore summary opt,15615,1433511410,-64.4733333333,3.33061263849,15.9385234847,bf7d8d969d9d
mozilla-inbound,linux64,d302a19fe1f655de7f9db1928a97bda4b3274568,sessionrestore summary opt,16102,1434498422,-30.125,1.58878960602,7.34278930957,8c88a4ed79db
mozilla-inbound,linux32,f4c4dae358f6ebf766b1f6aad25cdc2714cb9036,sessionrestore_no_auto_restore summary opt,16102,1434498422,-21.0683333333,2.52964948916,7.46866979084,8c88a4ed79db
mozilla-inbound,windows8-64,c46687e69d0c47dff34b51f78a35dde2eea93bcb,tart summary pgo,16501,1435582007,0.0791666666667,1.89243027888,7.50675523713,4eaa77aeece1
mozilla-inbound,linux32,d6871c70abde341a37dbdd001196f0d7e35f3b99,kraken summary pgo,14500,1431116907,-0.728333333333,0.654152445961,8.14216918742,afbc1f7623e7
mozilla-inbound,linux32,d6871c70abde341a37dbdd001196f0d7e35f3b99,kraken summary pgo,14812,1431921129,-1.85333333333,1.67520337451,8.5479253281,f399909af711
mozilla-inbound,linux32,d6871c70abde341a37dbdd001196f0d7e35f3b99,kraken summary pgo,14877,1432044166,2.54583333333,2.33938280113,17.8380671518,48fa8f0a227c
mozilla-inbound,linux32,d6871c70abde341a37dbdd001196f0d7e35f3b99,kraken summary pgo,15351,1432939725,-1.015,0.921505579724,7.69686162351,de599eed2373
mozilla-inbound,linux32,d6871c70abde341a37dbdd001196f0d7e35f3b99,kraken summary pgo,17060,1436570431,-1.24833333333,1.13663955324,11.0651043174,f75afefd1134
mozilla-inbound,windowsxp,718b3f7a46208cedcd91648e9cee6c5049351ddd,tresize summary pgo,14710,1431624311,1.2675,11.2201239304,10.0001613493,4bd6fc9630b5
mozilla-inbound,windowsxp,718b3f7a46208cedcd91648e9cee6c5049351ddd,tresize summary pgo,16408,1435262749,0.818333333333,7.49103669235,7.9870674852,a666c23a74ae
mozilla-inbound,linux64,b02b29308f79d2f139a95fcfa3127c928ec1c8f6,tscrollx summary pgo,14216,1430501216,0.403333333333,4.13321947054,9.29104708095,8fe081b9ff71
mozilla-inbound,linux64,b02b29308f79d2f139a95fcfa3127c928ec1c8f6,tscrollx summary pgo,14255,1430738248,-1.37,13.4897841963,14.4378952234,4b23f2a48e84
