Firefox-Non-PGO	Ubuntu HW 12.04	Session Restore Test	2015-05-28 02:33:37	-3.91%	b6623a27fa64
Mozilla-Inbound	Ubuntu HW 12.04	SVG, Opacity Row Major	2015-05-28 04:33:21	-4.67%	507b6aba4555
Mozilla-Inbound	Ubuntu HW 12.04	SVG-ASAP	2015-05-28 04:33:23	-3.64%	507b6aba4555
Mozilla-Inbound	Ubuntu HW 12.04 x64	SVG-ASAP	2015-05-28 04:34:01	-3.79%	507b6aba4555
Fx-Team-Non-PGO	Ubuntu HW 12.04	SVG-ASAP	2015-05-28 07:03:51	-3.95%	242916838c5c
B2g-Inbound-Non-PGO	WINNT 6.1 (ix)	Tp5 Optimized (Private Bytes)	2015-05-28 08:04:54	-3.04%	833be9ccdb9d
Fx-Team	MacOSX 10.10	tscroll-ASAP	2015-05-28 08:34:37	+27.9%	f30178f41b1f
Fx-Team-Non-PGO	Ubuntu HW 12.04 x64	SVG-ASAP	2015-05-28 08:35:17	-3.63%	242916838c5c
Fx-Team	MacOSX 10.10	TP5 Scroll	2015-05-28 09:04:53	+19.9%	f30178f41b1f
Mozilla-Inbound	WINNT 6.1 (ix)	Tp5 Optimized (Private Bytes)	2015-05-28 10:32:17	-3.38%	20b649df52a6
Firefox-Non-PGO	Ubuntu HW 12.04 x64	Session Restore Test	2015-05-28 15:34:35	-4.12%	b6623a27fa64
Firefox-Non-PGO	WINNT 6.2 x64	Session Restore Test	2015-05-28 16:03:28	-2.22%	b6623a27fa64
Firefox-Non-PGO	WINNT 6.1 (ix)	Session Restore Test	2015-05-28 16:32:48	-2.97%	b6623a27fa64
Firefox-Non-PGO	WINNT 5.1 (ix)	Session Restore Test	2015-05-28 16:32:56	-3.87%	b6623a27fa64
B2g-Inbound	WINNT 6.1 (ix)	Tp5 Optimized (Private Bytes)	2015-05-28 17:07:07	-2.88%	833be9ccdb9d
Fx-Team	WINNT 6.1 (ix)	Tp5 Optimized (Private Bytes)	2015-05-28 23:32:13	-3.03%	e79a3dffaec9
